Id,indegree,outdegree
BEZERRA Holien Gonçalves,0,0
BEZERRA Julio,0,0
BEZERRA Marlos Alves,0,0
BHABHA Homi K,3,0
BIANCARELLI Aureliano,0,0
BIANCHET Sandra Braga,0,0
BICALHO Maria Fernanda,2,0
BINI Edson,0,0
BIRMAN Joel,3,0
BIRMAN Patrícia,1,0
BIROLI Flávia,1,0
BITTENCOURT Circe Maria Fernandes,4,0
BITTENCOURT Francisco,0,0
BITTENCOURT Luciana,0,0
BITTENCOURT Marcelo,1,0
BLOC Lucas Guimarães,1,0
BLOCH Howard,0,0
BLOCH Marc,10,0
FREITAS Talitta Tatiane Martins,1,37
BLOOM Harold,0,0
BLUTEAU Raphael,2,0
BOARDMAN John,0,0
BOBBIO Norberto,3,0
BOEHRINGER Sandra,0,0
BOFF Leonardo,1,0
BOHN Alessandra Maria,0,0
BOITO JR Armando,0,0
BOLOGNE Jean Claude,0,0
BOLSONARO Jair,1,0
BOLTANSKI Luc,0,0
BOLTON Brenda,0,0
BOMENY Helena,0,0
BONADIO Maria Claudia,0,0
BONASSI Brune Camillo,0,0
BONDÍA Jorge Larrosa,0,0
BONNET Marie-Jo,0,0
BORBA Andressa da Silva,0,0
BORBA Rodrigo,1,0
BORDO Susan R,2,0
BORELLI Silvia Helena Simões,0,0
BORGES Nilson,2,0
SILVA Daniel Henrique de Oliveira,0,25
BORGES Valdeci,1,0
BORGES Vavy Pacheco,1,0
BORILLO Daniel,1,0
BORIS Georges Daniel,1,0
BORNSTEIN Kate,1,0
BORRILLO Daniel,11,0
BORSA Juliane Callegaro,0,0
BORTOLOZZI Remos Matheus,0,0
BOSCHI Caio César,0,0
BOSI Alfredo,0,0
BOSI Ecléa,2,0
BOSSY John,0,0
BOSWELL John,4,0
BOTTON Fernando Bagiotto,0,0
BOURCIER Sam,0,0
BOURDIEU Pierre,26,0
BOUREAU Alain,1,0
BOUTIER Jean,1,0
BOWRA C M,0,0
BOXER Charles R,1,0
BOZON Michel,2,0
BRABO Tânia Suely,0,0
BRAGA Cíntia Guedes,1,0
BRAGA Isabel M R Mendes Drumond,1,0
BRAGA João,1,0
BRAGA Júlio,0,0
BRAGA Paulo Drumond,0,0
CAVALCANTE Lais Medeiros,0,0
BRAH Avtar,2,0
BRAIDOTTI Rosi,2,0
BRANCO Edward de Alencar Castelo,1,0
BRANCO Guilherme Castelo,3,0
BRANCO Lúcia Castello,1,0
BRANDÃO Ana Maria,1,0
BRANDÃO Alessandra,0,0
BRANDÃO Elaine Reis,1,0
BRANDÃO Fagner Alves Moreira,0,0
BRANDÃO Helena H Nagamine,0,0
BRANDÃO José Luís,1,0
BRANDÃO Junito,1,0
BRANNON R,0,0
BRASILIENSE Maria Bernadete,0,0
BRAUDEL Fernand,0,0
BRAY Alan,0,0
BRAZ Camilo Albuquerque,3,0
BREMMER Jan,4,0
BREPOHL Marion,0,0
BRESCIANI Maria Stella Martins,2,0
BRETAS Marcos Luiz,2,0
BRETT Guy,0,0
BRIGGS Asa,0,0
BRITES Jurema,1,0
BRITO Ana Maria de,1,0
BRITO Eleonora Zicari Costa,1,0
BRITO Walderes,0,0
BRITTO Sérgio,0,0
BRITZMAN Deborah,3,0
BROD Jairo Luis,0,0
BROWN Judith C,0,0
BROWN Peter,1,0
BROWN Wendy,0,0
BRÜGGER Silvia Maria,0,0
BRULON Bruno,0,0
BRUM Eliane,1,0
BRUM Roberta Knapik,0,0
BRUNDAGE James A,0,0
BRUSCHINI Cristina,2,0
BRUSCHINI Maria C,1,0
BUARQUE Chico,0,0
BUENO Maria Lúcia,0,0
BUFFIÈRE Félix,0,0
BUFFON Roseli,1,0
BUITONI Dulcília Schroeder,3,0
BULFINCH Thomas,0,0
BULHÕES Marcelo,0,0
BULLOUGH Vern,2,0
BURGUIÈRE André,0,0
BURITY Joanildo,0,0
BURKE Peter,16,0
BURKERT Walter,0,0
BUSIN Valéria Melkin,1,0
BUSS Paulo Marchiori,1,0
BUSTAMANTE Regina Maria,2,0
BUTLER Judith,46,0
BUTTURI JR Atílio,1,0
BUXTON Richard,0,0
BUZAID Alfredo,1,0
CARA Cristina,1,0
CABRAL Euclides,1,0
CABRAL Jacqueline Ribeiro,0,0
CAETANO Márcio,1,0
CAIMI Flávia Eloisa,0,0
CAINELLI Marlene,0,0
CALADO Carlos,0,0
CALAINHO Daniela Buono,3,0
CALAME Claude,0,0
CALDAS Alberto Lins,1,0
CALDAS Dário,0,0
CALDEIRA Angela Cristina Germine Pinto,1,0
CALDEIRA Teresa P,0,0
CALEIRO Regina Célia Lima,1,0
CALLEGARI Jeanne,0,0
CALLIGARIS Contardo,1,0
CALVANI Carlos Eduardo,2,0
